# energy_eV	efficiency	events_with_hits	total_events
1.000000e-04	1.598200e-03	15982	10000000
1.000000e-04	1.603000e-03	16030	10000000
2.000000e-04	1.594000e-03	15940	10000000
3.000000e-04	1.618700e-03	16187	10000000
4.000000e-04	1.603800e-03	16038	10000000
6.000000e-04	1.608400e-03	16084	10000000
9.000000e-04	1.581600e-03	15816	10000000
1.400000e-03	1.564300e-03	15643	10000000
2.000000e-03	1.522600e-03	15226	10000000
2.900000e-03	1.445800e-03	14458	10000000
4.200000e-03	1.348400e-03	13484	10000000
6.100000e-03	1.243600e-03	12436	10000000
8.800000e-03	1.113600e-03	11136	10000000
1.280000e-02	1.023800e-03	10238	10000000
1.860000e-02	8.959000e-04	8959	10000000
2.690000e-02	7.713000e-04	7713	10000000
3.910000e-02	6.569000e-04	6569	10000000
5.680000e-02	5.542000e-04	5542	10000000
8.250000e-02	4.668000e-04	4668	10000000
1.198000e-01	3.908000e-04	3908	10000000
1.740000e-01	3.197000e-04	3197	10000000
2.528000e-01	2.790000e-04	2790	10000000
3.671000e-01	2.209000e-04	2209	10000000
5.331000e-01	1.809000e-04	1809	10000000
7.741000e-01	1.509000e-04	1509	10000000
1.124200e+00	1.257000e-04	1257	10000000
1.632600e+00	1.039000e-04	1039	10000000
2.370800e+00	8.770000e-05	877	10000000
3.443000e+00	7.510000e-05	751	10000000
5.000000e+00	5.930000e-05	593	10000000
